COMPOUND_ID	CLink
1026	695
117476	1073
119305	1452
1216	233
125406	337
128040	170
128402	170
128695	170
128714	170
13004	44
13051	44
13074	44
13080	44
13105	44
1312	695
139719	338
139794	338
14074	211
1413	384
144769	117
145199	1074
1485	299
151094	696
151493	696
151977	251
151989	251
152115	251
152410	251
152466	251
152934	300
152996	251
159179	1075
161080	180
162842	695
164137	1453
172625	44
172698	44
174489	181
175722	385
184676	489
188619	574
1915	89
195477	233
196204	129
198677	828
198896	695
199091	45
199126	45
205648	75
2080	182
212810	1076
213979	1076
2154	697
223684	130
225445	182
225540	829
22942	1077
235264	441
235599	1078
236	301
238412	1454
243811	698
244515	698
24695	830
25387	1079
255477	76
25811	831
265416	47
265417	46
265418	46
270724	180
27350	182
27647	1455
27847	182
27914	182
27918	339
28009	339
280832	252
281052	252
281214	252
281608	252
285857	171
285858	171
285940	171
286068	171
286070	40
286288	171
286520	699
286526	171
286620	171
286631	171
286710	40
286974	171
287128	40
287211	171
287314	171
287626	340
28846	252
288654	171
288766	171
290944	1456
29571	44
29636	47
29652	47
29730	47
301025	1080
304114	832
30873	129
31049	129
31089	233
31093	233
312899	490
313523	183
314465	386
325411	833
325414	234
325415	234
325519	234
325551	234
325609	234
325621	491
325622	491
325648	234
325716	234
325717	833
325791	833
328150	280
339944	212
341892	165
345190	1457
352588	1081
35411	183
35650	183
357313	834
357640	1082
358551	192
360695	385
360795	835
36607	183
36641	183
368117	492
368757	24
368767	24
368807	24
368816	24
368824	24
368825	24
368832	12
368847	12
368869	172
368870	24
374002	252
376745	166
376778	213
384940	493
384948	1083
388388	1458
390097	1459
391352	1084
398688	180
399409	836
399434	836
407974	1460
420355	575
422010	23
422026	23
422028	23
42380	299
430212	146
432762	494
439481	1085
439838	1085
444479	837
447415	838
456053	341
459220	839
460482	840
469260	831
473405	700
474930	48
474990	48
475032	48
475034	48
475035	48
476314	341
476625	253
478110	1086
478256	1087
482654	841
486417	2
487245	576
487249	141
487250	141
487314	156
487315	156
487317	156
487385	141
487386	156
487389	156
487451	156
487452	141
487454	66
487522	281
487523	281
487524	281
487615	66
489289	57
489770	701
491731	254
494078	495
494662	1075
495238	495
49931	384
507893	496
507894	385
507952	302
507953	302
510433	1088
512926	702
524375	1089
524380	41
524381	299
524383	842
524384	16
524385	1461
524386	843
524387	41
524388	497
524389	8
524390	844
524391	1462
524392	129
524393	173
524394	14
524395	1090
524398	845
524399	16
524400	1463
524401	846
524402	1091
524403	117
524404	18
524406	300
524408	1464
524409	498
524410	1465
524411	27
524412	703
524413	1466
524414	846
524416	1467
524417	282
524419	254
524420	16
524421	704
524422	37
524423	8
524425	1468
524426	1469
524427	1470
524428	1471
524429	40
524430	180
524431	499
524432	847
524433	1472
524434	67
524435	129
524436	157
524437	500
524439	141
524441	142
524442	146
524443	848
524444	90
524445	79
524447	142
524448	387
524450	849
524451	253
524452	501
524453	142
524454	255
524456	850
524457	850
524458	851
524459	8
524460	184
524461	158
524462	67
524463	1092
524465	303
524467	58
524468	256
524469	1093
524470	1094
524472	852
524473	304
524474	147
524475	8
524476	1095
524477	577
524479	193
524480	67
524483	1473
524484	305
524485	705
524486	706
524487	1474
524488	502
524490	707
524491	503
524492	578
524493	1475
524494	51
524495	1476
524497	1477
524498	853
524499	504
524500	16
524501	704
524502	708
524504	257
524505	1478
524507	709
524508	854
524510	16
524511	89
524512	1479
524514	442
524515	501
524516	235
524517	505
524518	1096
524519	579
524520	5
524521	1480
524523	1097
524525	1481
524526	306
524527	307
524530	235
524531	851
524533	855
524534	853
524535	856
524536	16
524537	40
524540	710
524541	443
524542	301
524544	1098
524545	308
524546	8
524547	1099
524548	1482
524549	506
524550	388
524551	59
524552	66
524553	102
524554	1483
524555	66
524556	1484
524558	1100
524559	857
524560	711
524561	89
524562	283
524563	712
524564	1101
524565	1485
524566	489
524567	35
524568	236
524569	1486
524570	1487
524571	1102
524573	444
524575	1103
524576	284
524577	91
524578	1488
524582	1489
524583	507
524584	1490
524585	27
524586	285
524589	339
524590	858
524591	1491
524593	109
524595	342
524596	235
524597	1492
524599	445
524600	182
524601	389
524602	1099
524603	90
524604	8
524605	446
524607	580
524608	282
524609	508
524610	1104
524611	253
524612	712
524613	343
524614	66
524615	713
524616	859
524617	857
524618	142
524619	255
524624	699
524626	447
524627	856
524628	581
524629	27
524630	448
524631	860
524633	236
524634	1493
524635	142
524637	1494
524638	344
524640	27
524641	41
524642	1105
524643	8
524645	135
524646	214
524647	1495
524649	1106
524651	582
524652	1090
524654	1496
524655	174
524656	1497
524657	714
524658	704
524660	31
524661	102
524664	85
524665	345
524666	235
524667	258
524668	66
524669	301
524670	92
524673	1107
524674	390
524675	1108
524676	301
524677	715
524678	1498
524679	716
524680	1499
524682	1500
524683	47
524684	449
524685	578
524686	489
524687	305
524688	118
524689	583
524691	1501
524692	212
524693	447
524694	141
524695	118
524696	1502
524697	861
524698	1503
524699	575
524700	1109
524702	40
524703	307
524704	346
524705	299
524706	862
524708	1504
524710	1505
524711	509
524712	182
524713	85
524714	717
524718	47
524719	584
524720	347
524721	1506
524722	1110
524723	348
524725	1507
524726	1508
524727	8
524728	89
524729	41
524730	215
524731	1509
524732	1510
524733	32
524734	703
524735	446
524736	585
524738	1111
524739	93
524740	863
524741	718
524742	345
524743	236
524745	719
524746	1511
524747	349
524749	450
524750	451
524751	1512
524752	1513
524754	109
524755	586
524756	391
524757	180
524758	1112
524759	350
524760	1514
524761	510
524762	1515
524764	1516
524765	117
524766	67
524767	146
524768	1517
524769	392
524770	309
524771	109
524772	93
524773	864
524774	94
524775	1113
524777	89
524778	1518
524780	183
524781	184
524783	865
524784	286
524786	1519
524787	66
524788	1114
524789	1115
524790	85
524792	1116
524793	1520
524795	47
524796	587
524798	866
524799	1521
524800	93
524801	194
524803	310
524804	5
524805	69
524806	1522
524807	588
524808	302
524809	95
524810	720
524813	75
524815	259
524818	159
524822	58
524823	511
524824	1117
524825	103
524827	348
524828	1523
524830	1118
524831	1524
524833	1525
524836	146
524837	1119
524838	1120
524839	1084
524840	142
524842	19
524843	1121
524845	256
524846	1526
524847	505
524848	1527
524849	142
524850	867
524851	512
524852	58
524853	5
524854	286
524855	33
524856	58
524857	1122
524858	861
524859	589
524860	27
524861	868
524862	1528
524863	19
524865	27
524866	1074
524867	49
524868	704
524869	40
524870	8
524871	393
524872	67
524873	260
524874	77
524877	311
524879	287
524881	254
524882	1123
524883	576
524884	493
524886	1124
524887	717
524889	27
524890	1529
524891	185
524893	345
524895	195
524897	77
524898	69
524899	1125
524901	19
524905	345
524907	37
524910	7
524911	110
524913	123
524915	160
524916	1530
524917	237
524918	235
524920	16
524921	25
524922	394
524923	61
524924	835
524925	23
524927	93
524930	143
524931	37
524934	513
524935	869
524936	721
524937	1114
524938	261
524939	452
524940	148
524941	343
524942	259
524944	1531
524945	590
524946	591
524947	6
524951	238
524952	843
524953	722
524954	592
524955	173
524956	80
524957	28
524958	443
524959	2
524961	514
524962	1126
524963	130
524964	287
524966	10
524967	312
524969	161
524971	20
524972	86
524973	147
524974	111
524975	111
524976	5
524977	216
524980	870
524981	237
524982	1532
524983	1533
524984	196
524985	3
524987	40
524989	13
524990	38
524992	124
524993	53
524996	217
524997	1534
524998	239
524999	184
525000	29
525001	309
525003	26
525006	54
525007	395
525008	96
525009	45
525010	515
525011	255
525012	197
525014	12
525015	131
525016	14
525017	149
525020	146
525021	186
525022	4
525023	7
525025	29
525026	871
525029	198
525032	240
525034	723
525035	262
525037	351
525038	62
525039	6
525040	872
525043	21
525045	396
525046	516
525047	119
525049	199
525052	46
525053	150
525054	66
525055	200
525057	7
525058	34
525059	129
525061	70
525063	80
525064	263
525066	593
525067	50
525068	517
525070	104
525071	109
525072	35
525073	594
525074	35
525075	141
525076	8
525080	1535
525082	42
525083	873
525084	50
525085	1127
525087	344
525088	1
525089	90
525090	185
525092	1536
525093	595
525094	43
525095	596
525096	120
525097	874
525099	39
525100	875
525101	241
525102	43
525103	136
525105	313
525106	201
525107	76
525108	104
525109	119
525110	397
525111	518
525112	1128
525115	876
525116	519
525117	398
525121	314
525122	85
525123	301
525124	157
525126	125
525127	724
525128	399
525130	12
525131	62
525133	7
525134	288
525135	10
525137	1129
525140	119
525141	597
525142	520
525143	92
525144	703
525147	71
525148	400
525150	314
525151	148
525152	9
525153	47
525154	30
525155	401
525156	91
525158	725
525159	26
525161	352
525162	166
525163	305
525164	43
525165	264
525166	1130
525168	402
525169	18
525171	55
525172	521
525173	41
525174	105
525175	36
525176	131
525177	522
525178	4
525179	403
525181	3
525182	5
525184	137
525186	151
525187	41
525188	211
525189	877
525191	1537
525192	78
525193	726
525194	1538
525195	3
525196	1131
525197	878
525199	453
525200	69
525201	171
525203	71
525204	523
525205	29
525206	218
525208	507
525211	12
525212	143
525213	598
525214	1
525215	497
525216	872
525217	37
525219	26
525220	44
525221	1539
525226	120
525228	184
525229	63
525231	315
525234	90
525236	12
525237	12
525238	23
525239	95
525240	61
525241	156
525243	710
525244	26
525245	1540
525246	14
525248	727
525250	501
525251	404
525252	879
525253	104
525255	31
525256	8
525258	880
525259	81
525260	219
525261	1132
525262	1541
525263	123
525264	112
525265	86
525266	54
525267	119
525269	21
525270	242
525271	881
525272	159
525273	599
525277	34
525278	1542
525279	14
525280	600
525281	882
525282	132
525284	144
525285	524
525286	51
525287	525
525289	55
525292	133
525293	517
525294	280
525295	81
525299	289
525300	1133
525301	883
525304	405
525305	1131
525306	849
525307	113
525308	526
525309	19
525310	1134
525312	21
525314	114
525315	406
525316	282
525317	150
525318	290
525319	728
525320	45
525321	1543
525322	24
525324	316
525325	1135
525326	243
525328	126
525329	41
525330	353
525331	175
525333	1
525334	220
525335	53
525336	316
525338	601
525339	2
525340	6
525341	4
525342	884
525343	265
525344	354
525346	33
525347	723
525348	454
525349	214
525350	82
525352	157
525354	26
525356	1544
525360	22
525362	63
525363	61
525364	885
525366	317
525367	10
525368	109
525369	1136
525370	1137
525371	729
525372	45
525373	842
525374	10
525376	13
525377	448
525379	352
525380	886
525382	280
525383	83
525385	1545
525386	60
525387	22
525389	121
525390	106
525391	21
525394	9
525395	280
525396	318
525397	602
525400	887
525401	1138
525402	19
525403	49
525405	355
525406	319
525407	708
525409	356
525410	114
525411	174
525412	47
525413	66
525415	20
525416	6
525417	184
525418	407
525421	603
525422	62
525425	138
525426	1
525427	865
525429	408
525430	390
525431	122
525433	127
525434	9
525435	11
525436	1
525437	888
525438	311
525439	117
525440	146
525441	1139
525442	455
525443	604
525445	1546
525447	235
525448	605
525453	130
525455	107
525456	62
525457	4
525458	94
525460	606
525461	607
525462	730
525464	889
525465	696
525466	1140
525468	1141
525470	238
525473	1
525474	152
525475	608
525476	890
525477	731
525478	409
525479	161
525480	14
525482	393
525484	212
525485	732
525486	58
525490	1
525491	609
525492	26
525493	17
525494	1547
525496	357
525497	1142
525499	153
525500	1143
525501	244
525502	252
525503	40
525504	221
525506	391
525507	257
525508	1548
525510	14
525511	452
525512	15
525513	240
525514	141
525515	1
525516	24
525517	2
525520	111
525522	32
525523	527
525524	222
525526	120
525529	868
525530	36
525531	56
525534	54
525535	90
525537	118
525539	162
525540	108
525542	1144
525543	283
525544	266
525546	610
525547	1
525548	56
525549	118
525550	8
525552	59
525553	148
525554	38
525555	109
525556	456
525557	5
525558	142
525560	22
525563	92
525564	217
525565	90
525567	151
525568	223
525569	1130
525571	604
525572	8
525573	15
525574	1549
525575	410
525576	1145
525578	411
525580	891
525581	29
525582	61
525584	5
525587	733
525592	358
525597	267
525598	734
525599	138
525600	9
525601	194
525602	499
525603	359
525604	80
525606	528
525607	175
525608	268
525609	892
525611	1146
525612	893
525613	22
525614	19
525615	5
525616	114
525617	1147
525618	457
525619	50
525627	841
525629	21
525630	611
525631	27
525632	1148
525633	245
525634	194
525635	60
525636	1149
525637	735
525638	159
525639	720
525641	48
525642	22
525643	1150
525644	71
525645	529
525646	530
525647	494
525649	394
525650	72
525653	61
525654	1151
525655	705
525656	452
525658	68
525661	1550
525662	894
525663	1551
525664	202
525665	130
525667	736
525668	8
525669	612
525670	163
525671	6
525672	5
525673	167
525674	1152
525675	581
525676	1153
525678	114
525679	320
525680	168
525681	577
525682	613
525683	71
525684	37
525686	319
525687	412
525688	386
525689	256
525691	57
525692	9
525694	203
525695	291
525696	175
525698	401
525699	1
525701	24
525702	360
525703	266
525704	160
525705	19
525706	454
525708	224
525711	73
525714	446
525715	269
525716	6
525718	21
525720	737
525721	738
525722	204
525723	895
525724	739
525725	106
525726	48
525727	186
525730	33
525731	38
525733	4
525734	270
525735	1154
525736	68
525737	25
525738	413
525739	97
525742	63
525743	15
525744	132
525745	13
525748	896
525750	158
525751	740
525752	110
525754	710
525756	122
525757	1
525758	66
525760	897
525762	28
525764	31
525765	292
525766	614
525767	615
525768	69
525770	71
525771	19
525772	313
525773	1552
525774	458
525775	169
525779	98
525781	225
525782	898
525783	234
525784	38
525785	302
525786	32
525787	87
525788	52
525789	361
525790	11
525791	146
525792	28
525793	531
525794	616
525795	86
525796	123
525797	105
525798	113
525800	134
525801	218
525803	362
525804	147
525805	532
525807	284
525810	899
525811	10
525812	459
525813	205
525814	1553
525815	135
525817	32
525818	176
525819	1155
525820	1
525821	64
525822	1156
525823	216
525825	59
525826	99
525827	31
525828	70
525830	611
525832	8
525833	1554
525834	40
525835	11
525837	533
525839	878
525840	33
525841	460
525842	29
525843	708
525845	321
525846	94
525849	234
525850	1555
525851	741
525852	534
525856	877
525859	363
525860	172
525862	94
525863	84
525864	322
525865	284
525866	394
525867	271
525871	130
525872	52
525874	461
525876	73
525878	6
525879	64
525880	267
525881	323
525882	81
525885	125
525886	8
525887	120
525889	236
525890	122
525891	102
525892	62
525893	1157
525894	88
525895	50
525897	73
525899	239
525901	54
525902	287
525904	14
525905	10
525906	1
525907	1158
525908	113
525909	1159
525910	414
525911	165
525912	77
525913	200
525914	535
525915	364
525916	142
525917	1556
525918	4
525919	114
525921	14
525922	98
525923	22
525924	1557
525926	324
525928	141
525929	1160
525930	742
525931	87
525932	743
525933	151
525935	744
525937	1558
525939	53
525940	1
525941	900
525942	341
525943	14
525944	280
525945	187
525946	111
525947	617
525948	462
525949	293
525950	8
525951	167
525952	1
525953	184
525955	1161
525956	6
525957	36
525960	618
525961	131
525962	137
525963	536
525964	100
525967	42
525970	78
525971	226
525972	1559
525973	227
525975	52
525977	95
525978	535
525980	152
525981	39
525982	77
525984	74
525985	619
525987	239
525991	86
