COMPOUND_ID	FragA	Ca	Cb	IntAB	UnionAB	CommonProp	ExpCommonProp	LogDiffCP	PIa	PIb	PIaU	PIbU	FragEffA	MedPotA	MedPotB	pXC50_3D7	Ratio
236	17	261	261	7	516	0.0135658914728682	0.012025348435786	0.0523506694287581	0.506796116504854	0.506796116504854	0.493203883495146	0.493203883495146	15.3529411764706	6.10363	6.18029	6.18101	1.1281079750253
1026	24	260	260	19	502	0.0378486055776892	0.0119935494177252	0.499102154886454	0.518962075848303	0.518962075848303	0.481037924151697	0.481037924151697	10.8333333333333	6.44859	7.35315	7.43392	3.15574683185555
1216	10	130	130	1	260	0.00384615384615385	0.00884319938646501	-0.361582765077471	0.501930501930502	0.501930501930502	0.498069498069498	0.498069498069498	13	6.058355	6.12244	6.12223	0.434927866948312
1312	23	390	390	51	730	0.0698630136986301	0.0164681882360168	0.627601493515756	0.534979423868313	0.534979423868313	0.465020576131687	0.465020576131687	16.9565217391304	6.360995	7.35537	7.76706	4.24230113825368
1413	17	298	298	15	582	0.0257731958762887	0.0132386193606391	0.289325578978912	0.512908777969019	0.512908777969019	0.487091222030981	0.487091222030981	17.5294117647059	6.397015	6.75331	6.75068	1.94681901293403
1485	11	388	388	3	774	0.00387596899224806	0.0163957167345203	-0.626350112454641	0.501940491591203	0.501940491591203	0.498059508408797	0.498059508408797	35.2727272727273	6.360995	6.15785	6.15914	0.236401314746273
1915	13	265	265	7	524	0.0133587786259542	0.0121531277455619	0.0410786900897551	0.506692160611855	0.506692160611855	0.493307839388145	0.493307839388145	20.3846153846154	6.15178	8.296225	7.99099	1.09920498703164
2080	6	23	23	1	46	0.0217391304347826	0.0221592663572244	-0.00831320947607983	0.511111111111111	0.511111111111111	0.488888888888889	0.488888888888889	3.83333333333333	6.37941	7.226915	7.22561	0.981040170027793
2154	3	8	8	1	16	0.0625	0.0591294455429454	0.0240762107070236	0.533333333333333	0.533333333333333	0.466666666666667	0.466666666666667	2.66666666666667	6.476035	5.9978	5.99783	1.05700297755382
13004	12	130	130	6	255	0.0235294117647059	0.00884319938646501	0.425001652843035	0.511811023622047	0.511811023622047	0.488188976377953	0.488188976377953	10.8333333333333	6.058355	5.92738	5.92686	2.66073518603673
13051	11	130	130	2	259	0.00772200772200772	0.00884319938646501	-0.0588791855239239	0.503875968992248	0.503875968992248	0.496124031007752	0.496124031007752	11.8181818181818	6.058355	6.7488	6.74763	0.873214250243715
13074	11	130	130	2	259	0.00772200772200772	0.00884319938646501	-0.0588791855239239	0.503875968992248	0.503875968992248	0.496124031007752	0.496124031007752	11.8181818181818	6.058355	6.0283	6.02842	0.873214250243715
13080	12	130	130	2	259	0.00772200772200772	0.00884319938646501	-0.0588791855239239	0.503875968992248	0.503875968992248	0.496124031007752	0.496124031007752	10.8333333333333	6.058355	6.76031	6.76076	0.873214250243715
13105	12	130	130	3	258	0.0116279069767442	0.00884319938646501	0.118892131649779	0.505836575875486	0.505836575875486	0.494163424124514	0.494163424124514	10.8333333333333	6.058355	6.6234	6.62239	1.31489820240187
14074	36	305	305	6	605	0.00991735537190083	0.0134750835022181	-0.133135589366207	0.504966887417219	0.504966887417219	0.495033112582781	0.495033112582781	8.47222222222222	6.16474	6.063205	6.06325	0.735977285058628
22942	16	1094	1094	103	2086	0.0493767976989454	0.0442615016358394	0.0474967767013208	0.524700239808154	0.524700239808154	0.475299760191846	0.475299760191846	68.375	6.11639	6.09983	6.0993	1.11556987165035
24695	7	53	53	1	106	0.00943396226415094	0.0113828638431876	-0.0815574063063407	0.504761904761905	0.504761904761905	0.495238095238095	0.495238095238095	7.57142857142857	6.09604	6.073795	6.07371	0.828786357643814
25387	14	294	294	8	581	0.0137693631669535	0.0131043831902395	0.0214972706299148	0.506896551724138	0.506896551724138	0.493103448275862	0.493103448275862	21	6.397015	6.60509	6.60204	1.05074485132649
25811	26	1276	1276	98	2455	0.039918533604888	0.0518588661279048	-0.113648437639132	0.519967400162999	0.519967400162999	0.480032599837001	0.480032599837001	49.0769230769231	6.135405	5.99576	5.9923	0.769753305180889
27350	6	23	23	1	46	0.0217391304347826	0.0221592663572244	-0.00831320947607983	0.511111111111111	0.511111111111111	0.488888888888889	0.488888888888889	3.83333333333333	6.38995	6.6296	6.62956	0.981040170027793
27647	3	11	11	1	22	0.0454545454545455	0.0438996065554076	0.0151166912268139	0.523809523809524	0.523809523809524	0.476190476190476	0.476190476190476	3.66666666666667	6.13666	6.78452	6.78394	1.03542033792889
27847	4	38	38	1	76	0.0131578947368421	0.0144465931065863	-0.0405790331823299	0.506666666666667	0.506666666666667	0.493333333333333	0.493333333333333	9.5	6.080415	5.92952	5.92965	0.910795690012433
27914	4	22	22	1	44	0.0227272727272727	0.0230664487088044	-0.00643341253784624	0.511627906976744	0.511627906976744	0.488372093023256	0.488372093023256	5.5	6.14354	6.71372	6.71395	0.985295700009415
27918	4	20	20	1	40	0.025	0.0251575860402926	-0.00272895800277384	0.512820512820513	0.512820512820513	0.487179487179487	0.487179487179487	5	6.24742	6.11545	6.11543	0.993736042876284
