SCAFFOLD_ID	COMPOUND_ID
0	530154
0	534099
1	526191
1	529531
2	530189
2	530938
2	531294
2	531771
2	532654
2	532971
2	533556
2	535975
2	536078
3	530215
3	531613
3	532624
3	536680
3	539953
3	541432
4	527806
4	529287
4	534416
4	534497
4	539335
4	540718
4	540778
4	541123
5	524545
5	527997
5	531429
5	534587
5	538004
5	541040
5	541151
5	541270
6	524915
6	525704
6	526589
6	528707
6	530147
6	531105
6	533974
6	534332
6	534999
6	535132
6	535557
6	536856
6	538390
6	538480
6	539218
6	539396
6	539828
6	541560
6	542425
7	525039
7	525878
7	528038
7	528796
7	529972
7	530624
7	532757
7	534874
7	536336
7	539107
7	541932
7	542270
8	527557
8	534238
9	536229
9	536455
10	532787
10	533358
11	528937
11	539180
12	525195
12	528214
13	532528
13	535226
14	534046
14	535999
15	534942
15	536426
16	525344
16	526735
16	527909
16	527921
16	529490
16	529863
16	529943
16	531626
16	534069
16	534244
16	534797
16	537243
16	538501
16	539723
17	533647
17	534136
17	534823
17	539964
18	527084
18	535000
18	542260
19	535145
19	538031
19	538498
19	542059
20	534479
20	538546
21	525253
21	526058
21	531905
21	538929
22	527593
22	527815
22	533680
22	535254
22	539633
23	528381
23	532348
23	541389
24	525100
24	536013
24	537732
24	541418
24	541770
25	525127
25	528390
25	212810
25	213979
26	527182
26	529401
26	530081
26	530636
26	531103
26	532879
26	534688
26	534708
26	535695
26	536146
26	536183
26	536316
26	537128
26	537323
26	538161
26	538211
26	538238
26	539220
26	539393
26	541113
26	541250
26	541491
26	541703
26	542084
26	542129
26	542274
26	542381
26	542541
27	527061
27	528318
27	530391
27	530624
27	530698
27	536382
27	536616
27	536832
27	539549
27	152115
27	542151
28	527084
28	529668
28	538055
28	538115
29	532070
29	537517
30	525939
30	532157
30	542749
31	527360
31	529357
31	529992
31	530226
31	531111
31	533033
31	534148
31	535941
31	536399
31	537582
31	537845
31	538198
31	538989
31	539192
31	539910
31	540078
31	542091
31	542276
31	542782
32	529072
32	531693
33	540885
33	543146
34	528549
34	535094
35	525295
35	525882
35	526258
35	531092
35	531319
35	532630
35	533505
35	533560
35	534126
35	534184
35	536579
35	538437
35	538611
35	539001
35	539035
35	539048
36	527194
36	527267
36	528790
36	530319
36	531258
36	532634
36	532713
36	532998
36	536224
36	536894
36	537875
36	542464
36	542881
37	529195
37	529885
37	532593
37	536682
38	524445
38	524911
38	525096
38	525206
38	525226
38	525356
38	525499
38	525526
38	525598
38	525752
38	525859
38	525887
38	526093
38	526108
38	526274
38	526317
38	526374
38	526402
38	526506
38	526700
38	526729
38	526836
38	526940
38	527132
38	527136
38	527160
38	527190
38	527232
38	527406
38	527494
38	527576
38	527566
38	527877
38	527914
38	528022
38	528403
38	528412
38	528668
38	528694
38	528719
38	528744
38	528786
38	528797
38	528845
38	529014
38	529146
38	529211
38	529252
38	529381
38	529434
38	529670
38	529812
38	529900
38	529976
38	530161
38	530236
38	530338
38	530429
38	530626
38	530628
38	530825
38	530973
38	530971
38	531160
38	531185
38	531386
38	531744
38	531862
38	531887
38	531946
38	532014
38	532038
38	532060
38	532115
38	532348
38	532950
38	533213
38	533391
38	533400
38	533411
38	533780
38	533979
38	534058
38	534073
38	534632
38	534704
38	534767
38	534892
38	534946
38	534945
38	534944
38	535155
38	535256
38	535258
38	535290
38	535335
38	535338
38	535359
38	535443
38	535481
38	535530
38	535668
38	535702
38	535858
38	535928
38	535983
38	536084
38	536225
38	536246
38	536286
38	536292
38	536567
38	536960
38	536963
38	537063
38	537088
38	537130
38	537333
38	537489
38	537588
38	537685
38	537775
38	538040
38	538047
38	538096
38	538283
38	538314
38	376745
38	538577
38	538654
38	538712
38	539073
38	539181
38	539543
38	539596
38	539987
38	540020
38	540072
38	540285
38	540836
38	540867
38	541165
38	541177
38	541203
38	541233
38	541267
38	541288
38	541339
38	541410
38	541561
38	541705
38	541723
38	541926
38	542028
38	542115
38	542171
38	542370
38	542428
38	542483
38	542669
38	542700
38	542754
38	542903
38	542939
38	543036
38	543048
38	543057
38	543053
39	526480
39	527271
39	527548
39	528072
39	531795
39	534503
39	534516
39	535615
39	537392
39	538643
39	540176
40	530268
40	533563
40	539497
40	539658
41	399434
41	399409
41	533701
41	541131
41	542108
42	525789
42	532436
42	532826
42	536024
43	527052
43	530249
43	530837
44	527357
44	529508
44	540957
44	542719
45	525155
45	535976
46	524855
46	525346
46	525600
46	525692
46	525789
46	525840
46	526042
46	526770
46	526827
46	526844
46	526875
46	526898
46	526969
46	527236
46	527330
46	527673
46	527840
46	527875
46	528626
46	528644
46	529021
46	529483
46	529562
46	529890
46	530303
46	530377
46	530615
46	532000
46	532231
46	532309
46	532497
46	532664
46	532676
46	532721
46	532826
46	533123
46	533987
46	534079
46	534394
46	534733
46	534823
46	535417
46	535712
46	536094
46	536406
46	536449
46	536715
46	536927
46	537744
46	537816
46	538394
46	538790
46	538816
46	538879
46	538921
46	539133
46	539355
46	539736
46	539751
46	540026
46	540153
46	540169
46	540668
46	541297
46	541405
46	541601
46	541906
46	541960
46	541976
46	543069
47	524784
47	524854
47	531975
47	533073
47	535777
47	538287
47	538830
47	538379
48	524473
48	524683
48	524718
48	265416
48	524795
48	525052
48	525153
48	525395
48	265417
48	526021
48	526223
48	526429
48	527068
48	527627
48	527745
48	527918
48	528371
48	528400
48	528735
48	528846
48	528910
48	529622
48	530214
48	530290
48	265418
48	531001
48	531217
48	531768
48	531911
48	532022
48	532518
48	532650
48	532747
48	532803
48	533257
48	533377
48	533410
48	533496
48	534151
48	534618
48	535004
48	535075
48	535081
48	535641
48	535728
48	536026
48	536092
48	536178
48	536625
48	536642
48	536850
48	537255
48	537412
48	537546
48	537655
48	537748
48	537820
48	538057
48	538266
48	538432
48	538595
48	29636
48	538887
48	540172
48	29730
48	540771
48	540797
48	541416
48	541616
48	541645
48	541849
48	542196
48	542273
48	542452
48	526903
49	533950
49	535986
50	527888
50	536650
50	537794
50	543031
51	236
51	538682
51	524669
52	526211
52	538670
53	530791
53	538571
53	539947
54	530710
54	535180
55	525789
55	532826
55	535433
55	535538
56	525880
56	528935
56	529322
56	529996
56	531002
56	532528
56	533431
56	535684
56	536584
56	536822
56	538191
56	538610
56	539324
56	539328
56	542065
56	542136
56	543054
57	525229
57	527076
57	528421
57	529912
57	530547
57	530964
57	531831
57	532776
57	532844
57	533113
57	535167
57	537698
57	538427
57	538533
57	538758
57	541871
57	543045
57	529346
58	525057
58	525133
58	526909
58	527425
58	527470
58	528352
58	528733
58	528745
58	529286
58	529956
58	530135
58	530316
58	530650
58	530678
58	531222
58	531780
58	531877
58	531999
58	532541
58	532915
58	532951
58	533181
58	533253
58	533894
58	534508
58	534653
58	535795
58	536121
58	536484
58	536911
58	537199
58	537481
58	537937
58	538086
58	538948
58	539191
58	539562
58	539704
58	540646
58	540900
58	540925
58	541266
58	541639
58	541941
58	542014
58	542301
58	542460
58	542784
59	530385
59	540174
60	528147
60	532775
60	534628
61	525981
61	79428
61	526805
61	526834
61	527268
61	527339
61	528108
61	529260
61	529511
61	531409
61	533671
61	533687
61	534868
61	536415
61	537052
61	537308
61	538696
61	538967
61	539856
61	539912
61	540818
61	540819
61	540820
61	540851
61	543168
61	543133
61	543127
61	540852
61	543164
61	543155
61	543167
61	541007
61	540854
61	543144
61	540853
62	526704
62	532820
62	535947
62	537111
62	539151
62	539894
63	526274
63	528744
63	535702
64	524713
64	531948
64	487249
64	540990
64	542634
65	524993
65	526902
65	527628
65	529370
65	531368
65	536140
65	536868
65	539652
65	542345
65	542995
65	534835
66	527135
66	527447
66	527505
66	528671
66	529378
66	529743
66	535228
66	536143
66	536299
66	538294
66	539931
67	527301
67	533531
67	534308
67	536023
67	536573
68	524563
68	524765
68	205648
68	524839
68	525080
68	525439
68	525476
68	525807
68	525865
68	526167
68	526233
68	526400
68	526556
68	360695
68	527022
68	527122
68	74835
68	527404
68	527687
68	527896
68	527948
68	144769
68	528205
68	391352
68	528346
68	528608
68	528720
68	528829
68	529338
68	529570
68	244515
68	529772
68	529892
68	530122
68	530183
68	128714
68	530497
68	530496
68	530561
68	530795
68	243811
68	531631
68	531651
68	531656
68	531838
68	531925
68	532166
68	532350
68	532365
68	532572
68	532736
68	532764
68	532906
68	533101
68	533372
68	533468
68	533478
68	533578
68	533726
68	533738
68	533924
68	534033
68	25811
68	534242
68	534487
68	534897
68	535240
68	175722
68	128695
68	535831
68	535944
68	536860
68	536914
68	537267
68	537495
68	537707
68	537760
68	537764
68	537956
68	128040
68	538407
68	538687
68	538735
68	538759
68	538782
68	128402
68	538922
68	538911
68	538992
68	539129
68	539416
68	539415
68	539426
68	539505
68	539695
68	539766
68	539882
68	540741
68	540960
68	541062
68	541209
68	541271
68	541347
68	541815
68	541989
68	542057
68	542088
68	542120
68	542509
68	542675
68	543074
69	526626
69	529485
69	536906
70	527348
70	529910
70	539234
70	540292
71	525482
71	527267
71	527675
71	528244
71	529890
71	529915
71	534018
71	537008
71	537781
71	538368
71	540986
71	541841
71	542662
72	526403
72	529555
72	536684
73	531198
73	532516
73	536014
73	536870
74	530923
74	536953
74	538058
75	530637
75	536303
76	525195
76	526164
76	527337
76	527765
76	528214
76	528610
76	528977
76	530315
76	530663
76	530867
76	531005
76	531212
76	531879
76	533058
76	533399
76	533670
76	534223
76	534824
76	535009
76	535752
76	537631
76	537801
76	537870
76	537952
76	538690
76	539571
76	539746
76	539782
76	540065
76	540122
76	540290
76	541256
76	542466
76	542472
76	542766
77	526279
77	526849
77	526932
77	527781
77	530078
77	531886
77	532884
77	537684
77	537833
77	542769
77	542789
78	531922
78	539202
79	531117
79	532079
79	539583
80	527917
80	528903
80	529782
80	530740
80	534283
80	534789
80	535410
80	535571
80	536549
80	537029
80	537434
80	537849
81	526722
81	527059
81	527508
81	530347
81	532680
81	538223
81	540069
81	542679
82	524508
82	524741
82	534196
82	537418
82	538044
82	538512
82	539664
82	539900
83	524922
83	525649
83	525866
83	527907
83	528256
83	535215
83	535277
83	537021
83	541625
83	542393
84	535760
84	538297
85	540285
85	542952
86	528988
86	540284
87	525478
87	525910
87	526140
87	526642
87	526976
87	527218
87	528248
87	528705
87	528900
87	529068
87	531943
87	532042
87	532603
87	532719
87	532797
87	533211
87	534386
87	534833
87	535286
87	535508
87	536315
87	536623
87	536791
87	537487
87	537504
87	539865
87	540255
87	541716
87	542557
88	534084
88	540288
89	524394
89	524401
89	524447
89	524497
89	524519
89	524542
89	524549
89	524553
89	524626
89	524661
89	524676
89	524693
89	524722
89	524741
89	524784
89	524831
89	524843
89	524854
89	524890
89	524944
89	524961
89	525003
89	525008
89	525010
89	525016
89	525026
89	525032
89	525038
89	525053
89	525088
89	525123
89	525131
89	525159
89	525158
89	525197
89	525204
89	525214
89	525216
89	525219
89	525246
89	525244
89	525253
89	525264
89	525270
89	525279
89	525282
89	525317
89	525326
89	525333
89	525354
89	525356
89	525374
89	525422
89	525429
89	525426
89	525433
89	525436
89	525448
89	525455
89	525456
89	525473
89	525480
89	525490
89	525492
89	525510
89	525513
89	525515
89	525547
89	525569
89	525568
89	525597
89	525636
89	525641
89	525664
89	525667
89	525670
89	525669
89	525695
89	525699
89	525711
89	525733
89	525726
89	525739
89	525744
89	525757
89	525803
89	525820
89	525839
89	525863
89	525880
89	525891
89	525893
89	525894
89	525897
89	525892
89	525904
89	525906
89	525921
89	525918
89	525940
89	525943
89	525952
89	525985
89	525993
89	526000
89	526007
89	526009
89	526020
89	526039
89	526045
89	526042
89	526058
89	526079
89	526114
89	526145
89	526142
89	526151
89	526159
89	526183
89	526196
89	526202
89	526200
89	526206
89	526247
89	526248
89	526249
89	526251
89	526262
89	526272
89	526285
89	526296
89	526344
89	526386
89	475034
89	526422
89	526426
89	526430
89	526461
89	526479
89	526488
89	526526
89	526547
89	526560
89	526566
89	236
89	526573
89	526615
89	526638
89	526644
89	526653
89	526672
89	526678
89	526684
89	526710
89	526713
89	526733
89	526729
89	526746
89	526762
89	526792
89	526833
89	526826
89	526879
89	526882
89	526898
89	526924
89	526985
89	527026
89	527017
89	527060
89	527103
89	527108
89	527158
89	527169
89	527173
89	527166
89	527170
89	527213
89	527220
89	527252
89	527263
89	527288
89	527303
89	527326
89	527323
89	527353
89	527373
89	527375
89	527385
89	527392
89	527421
89	527439
89	527475
89	527503
89	527522
89	527539
89	527545
89	527547
89	527571
89	527595
89	527608
89	527641
89	527681
89	527682
89	527697
89	527702
89	527712
89	527730
89	527832
89	527844
89	527853
89	527875
89	527876
89	527878
89	527890
89	527937
89	527945
89	527984
89	528012
89	528019
89	528052
89	528059
89	528071
89	528073
89	528090
89	528139
89	528165
89	528171
89	528179
89	528247
89	528258
89	528265
89	528262
89	528261
89	528275
89	528280
89	528284
89	528294
89	528307
89	528312
89	528334
89	528339
89	528348
89	528381
89	528410
89	528451
89	528455
89	528472
89	528493
89	528509
89	528524
89	528527
89	528533
89	528563
89	528568
89	528587
89	528610
89	528614
89	528632
89	528664
89	528670
89	528677
89	528683
89	528687
89	528700
89	528723
89	528735
89	528745
89	528751
89	528781
89	528782
89	528779
89	528795
89	528804
89	528812
89	528825
89	528838
89	528865
89	528867
89	528870
89	528876
89	528882
89	528886
89	528894
89	528893
89	528895
89	528902
89	528927
89	528935
89	528944
89	528954
89	528983
89	529044
89	529047
89	529066
89	529085
89	529093
89	529122
89	529135
89	529160
89	529174
89	529171
